,filter_root_cui,retrieved_codes,retrieved_names,retrieved_codes_count
10,195020003,"['195020003', '45227007', '69609002', '89461002', '399020009', '85898001', '233873004', '847041000000109', '53043001', '195029002', '415295002', '414545008', '16253001', '194849004', '441541008', '64715009', '83521008', '195021004', '27097002', '23130000', '428163005', '83978005', '88223008', '360573001', '52029003', '61099007', '15544002', '7744000', '62377009', '697898008', '16846004', '413838009', '313297008', '700250006', '48447003', '37925008', '313296004', '998008', '233630006', '35728003', '40527005', '313299006', '30496006', '1201005', '10725009', '88805009', '370551009', '194990000', '31992008', '79955004']","['Hypertrophic cardiomyopathy without obstruction (disorder)', 'Hypertrophic obstructive cardiomyopathy (disorder)', 'Nonobstructive cardiomyopathy (disorder)', 'Primary cardiomyopathy (disorder)', 'Congestive cardiomyopathy (disorder)', 'Cardiomyopathy (disorder)', 'Hypertrophic cardiomyopathy (disorder)', 'Amyloid cardiomyopathy (disorder)', 'Primary idiopathic dilated cardiomyopathy (disorder)', 'Cardiomyopathy associated with another disorder (disorder)', 'Restrictive cardiomyopathy (disorder)', 'Ischemic heart disease (disorder)', 'Dilated cardiomyopathy secondary to peripartum heart disease (disorder)', 'Generalized ischemic myocardial dysfunction (disorder)', 'Takotsubo cardiomyopathy (disorder)', 'Hypertensive heart disease (disorder)', 'Dilated cardiomyopathy caused by alcohol (disorder)', 'Primary dilated cardiomyopathy (disorder)', 'Danish type familial amyloid cardiomyopathy (disorder)', 'Paroxysmal hypertension (disorder)', 'Hypertensive left ventricular hypertrophy (disorder)', 'Primary familial hypertrophic cardiomyopathy (disorder)', 'Secondary pulmonary hypertension (disorder)', 'Post-capillary pulmonary hypertension (disorder)', 'Primary familial dilated cardiomyopathy (disorder)', 'Rubeola scarlatinosa (disorder)', 'Restrictive cardiomyopathy secondary to infiltrations (disorder)', 'Congestive hypertrophy (morphologic abnormality)', 'Postpartum cardiomyopathy (disorder)', 'Idiopathic pulmonary arterial hypertension (disorder)', 'Obstructive emphysema (disorder)', 'Chronic ischemic heart disease (disorder)', 'Moderate chronic obstructive pulmonary disease (disorder)', 'Idiopathic pulmonary fibrosis (disorder)', 'Chronic heart failure (disorder)', 'Interstitial myocarditis (disorder)', 'Mild chronic obstructive pulmonary disease (disorder)', ""Chagas' disease with heart involvement (disorder)"", 'Obstructive bronchiectasis (disorder)', 'Familial cardiomyopathy (disorder)', 'Idiopathic pulmonary hemosiderosis (disorder)', 'Severe chronic obstructive pulmonary disease (disorder)', 'Dilated cardiomyopathy secondary to viral myocarditis (disorder)', 'Benign essential hypertension (disorder)', 'Benign hypertension (disorder)', 'Chronic congestive heart failure (disorder)', 'Dynamic right ventricular outflow tract obstruction (disorder)', 'Tricuspid incompetence, non-rheumatic (disorder)', 'Secondary hypertension (disorder)', 'Chronic cor pulmonale (disorder)']",50
11,83978005,"['83978005', '233873004', '85898001', '89461002', '35728003', '45227007', '15544002', '16253001', '847041000000109', '472315005', '441541008', '52029003', '53043001', '195020003', '415295002', '399020009', '281170005', '195029002', '194849004', '83521008', '30496006', '57809008', '69609002', '253528005', '471858004', '255401001', '195021004', '16573007', '79754008', '426300009', '690491000119104', '418818005', '16652001', '700065003', '439154009', '75403004', '390915000', '86441007', '62377009', '998008', '53741008', '41969006', '413838009', '75047002', '471841009', '85598007', '414545008', '725416005', '275514001', '50920009']","['Primary familial hypertrophic cardiomyopathy (disorder)', 'Hypertrophic cardiomyopathy (disorder)', 'Cardiomyopathy (disorder)', 'Primary cardiomyopathy (disorder)', 'Familial cardiomyopathy (disorder)', 'Hypertrophic obstructive cardiomyopathy (disorder)', 'Restrictive cardiomyopathy secondary to infiltrations (disorder)', 'Dilated cardiomyopathy secondary to peripartum heart disease (disorder)', 'Amyloid cardiomyopathy (disorder)', 'Mitochondrial cardiomyopathy (disorder)', 'Takotsubo cardiomyopathy (disorder)', 'Primary familial dilated cardiomyopathy (disorder)', 'Primary idiopathic dilated cardiomyopathy (disorder)', 'Hypertrophic cardiomyopathy without obstruction (disorder)', 'Restrictive cardiomyopathy (disorder)', 'Congestive cardiomyopathy (disorder)', 'Arrhythmogenic right ventricular cardiomyopathy (disorder)', 'Cardiomyopathy associated with another disorder (disorder)', 'Generalized ischemic myocardial dysfunction (disorder)', 'Dilated cardiomyopathy caused by alcohol (disorder)', 'Dilated cardiomyopathy secondary to viral myocarditis (disorder)', 'Myocardial disease (disorder)', 'Nonobstructive cardiomyopathy (disorder)', 'Arrhythmogenic right ventricular dysplasia (disorder)', 'Valvular cardiomyopathy (disorder)', 'Familial (qualifier value)', 'Primary dilated cardiomyopathy (disorder)', 'Senile cardiac amyloidosis (disorder)', 'Restrictive cardiomyopathy secondary to amyloidosis (disorder)', 'Tachycardia-induced cardiomyopathy (disorder)', 'History of cardiomyopathy (situation)', 'Brugada syndrome (disorder)', ""Fabry's disease (disorder)"", 'Primary hypertrophic cardiomyopathy (disorder)', 'Family history of myocarditis (situation)', 'Cardiac sarcoidosis (disorder)', 'Family history: Cardiomyopathy (situation)', 'Cardiac myocyte (cell)', 'Postpartum cardiomyopathy (disorder)', ""Chagas' disease with heart involvement (disorder)"", 'Coronary arteriosclerosis (disorder)', 'Idiopathic disease (disorder)', 'Chronic ischemic heart disease (disorder)', 'Disorder of skeletal muscle (disorder)', 'Inflammatory cardiomyopathy (disorder)', 'Constrictive pericarditis (disorder)', 'Ischemic heart disease (disorder)', 'Cardiomyopathy co-occurrent and due to cirrhosis of liver (disorder)', 'Impaired left ventricular function (finding)', 'Myocarditis (disorder)']",50
12,63183009,[],[],0
13,1204194004,[],[],0
14,428163005,"['428163005', '395704004', '275514001', '134401001', '367363000', '416610007', '430396006', '416158002', '371037005', '56246009', '3545003', '266249003', '395172009', '55827005', '194990000', '281170005', '64715009', '418304008', '45227007', '360573001', '128404006', '253541009', '85898001', '89461002', '48447003', '253528005', '399020009', '85232009', '111027004', '46113002', '429589006', '426749004', '195020003', '11399002', '697926000', '88223008', '27637000', '425615007', '70995007', '89792004', '368009', '84642008', '233873004', '370551009', '194849004', '255426005', '195029002', '297160003', '90539001', '23130000']","['Hypertensive left ventricular hypertrophy (disorder)', 'Left ventricular diastolic dysfunction (disorder)', 'Impaired left ventricular function (finding)', 'Left ventricular systolic dysfunction (disorder)', 'Right ventricular failure (disorder)', 'Right ventricular diastolic dysfunction (disorder)', 'Chronic systolic dysfunction of left ventricle (disorder)', 'Right ventricular systolic dysfunction (disorder)', 'Systolic dysfunction (finding)', 'Hypertrophy (morphologic abnormality)', 'Diastolic dysfunction (finding)', 'Ventricular hypertrophy (disorder)', 'No evidence of left ventricular systolic dysfunction (situation)', 'Left ventricular hypertrophy (disorder)', 'Tricuspid incompetence, non-rheumatic (disorder)', 'Arrhythmogenic right ventricular cardiomyopathy (disorder)', 'Hypertensive heart disease (disorder)', 'Diastolic heart failure (disorder)', 'Hypertrophic obstructive cardiomyopathy (disorder)', 'Post-capillary pulmonary hypertension (disorder)', 'Right heart failure (disorder)', 'Dilatation of left cardiac ventricle (disorder)', 'Cardiomyopathy (disorder)', 'Primary cardiomyopathy (disorder)', 'Chronic heart failure (disorder)', 'Arrhythmogenic right ventricular dysplasia (disorder)', 'Congestive cardiomyopathy (disorder)', 'Left heart failure (disorder)', 'Interventricular cardiac septal hypertrophy (disorder)', 'Hypertensive heart failure (disorder)', 'Left ventricular cardiac dysfunction (disorder)', 'Chronic atrial fibrillation (disorder)', 'Hypertrophic cardiomyopathy without obstruction (disorder)', 'Pulmonary hypertensive arterial disease (disorder)', 'Pulmonary hypertension due to diastolic systemic ventricular dysfunction (disorder)', 'Secondary pulmonary hypertension (disorder)', 'Dextrocardia (disorder)', 'Chronic atrial flutter (disorder)', 'Pulmonary hypertension (disorder)', 'Right ventricular hypertrophy (disorder)', 'Heart valve disorder (disorder)', 'Chronic regurgitation (finding)', 'Hypertrophic cardiomyopathy (disorder)', 'Dynamic right ventricular outflow tract obstruction (disorder)', 'Generalized ischemic myocardial dysfunction (disorder)', 'Ischemic (qualifier value)', 'Cardiomyopathy associated with another disorder (disorder)', 'Left ventricular aneurysm (disorder)', 'Ventricular aneurysm (disorder)', 'Paroxysmal hypertension (disorder)']",50
15,840303004,[],[],0
16,840304005,[],[],0
17,840305006,[],[],0
18,880052005,[],[],0
19,735686002,"['735686002', '274644002', '26636000', '95281009', '430283008', '418818005', '90049009', '117361000119104', '184305005', '698271000', '87309006', '716347009', '390915000', '160957000', '35728003', '690491000119104', '723511001', '47708004', '9651007', '782964007', '49713007', '83978005', '442917000', '111941005', '233873004', '281422006', '81854007', '698272007', '192781003', '255401001', '472315005', '446263001', '5605004', '371758005', '473070008', '16652001', '59283008', '70422006', '52339000', '473200002', '70444001', '415289003', '234538002', '230802007', '700192006', '306681000000104', '13213009', '246071007', '55475008', '703406006']","['Sudden cardiac death due to cardiac arrhythmia (disorder)', 'Sudden death, cause unknown (event)', 'Sudden death (event)', 'Sudden cardiac death (disorder)', 'Family history of sudden death (situation)', 'Brugada syndrome (disorder)', 'Unexplained sudden death (event)', 'Family history of sudden cardiac death (situation)', 'Cause of death (observable entity)', 'Cardiac channelopathy (disorder)', 'Death of unknown cause (event)', 'Autopsy performed (situation)', 'Family history: Cardiomyopathy (situation)', 'Sudden infant death (event)', 'Familial cardiomyopathy (disorder)', 'History of cardiomyopathy (situation)', 'Refuted (qualifier value)', 'Genetic predisposition (finding)', 'Long QT syndrome (disorder)', 'Genetic disease (disorder)', 'Unexpected death (event)', 'Primary familial hypertrophic cardiomyopathy (disorder)', 'Congenital long QT syndrome (disorder)', 'Familial disease (disorder)', 'Hypertrophic cardiomyopathy (disorder)', 'Brainstem death criteria (finding)', ""Alexander's disease (disorder)"", 'Short QT syndrome (disorder)', 'Leukodystrophy (disorder)', 'Familial (qualifier value)', 'Mitochondrial cardiomyopathy (disorder)', 'Loeys-Dietz syndrome (disorder)', 'Autopsy diagnosis (contextual qualifier) (qualifier value)', 'Postmortem result (finding)', 'Family history of mitochondrial disease (situation)', ""Fabry's disease (disorder)"", 'Maternal death (event)', 'Acute subendocardial infarction (disorder)', 'Nitrogen chloride (substance)', 'Genetic screening for disorder (procedure)', 'Recessive gene (substance)', 'Relative dying (situation)', 'Hyperimmunoglobulin D with periodic fever (finding)', 'Brainstem death (disorder)', 'Family history of long QT syndrome (situation)', 'Underlying cause of death (observable entity)', 'Congenital heart disease (disorder)', 'Inheritance (attribute)', 'Lown-Ganong-Levine syndrome (disorder)', 'Trichohepatoenteric syndrome (disorder)']",50
20,95281009,"['95281009', '117361000119104', '26636000', '430283008', '90049009', '390915000', '690491000119104', '429959009', '87309006', '430815001', '275544003', '297242006', '160364005', '429007001', '698248002', '266882009', '131471000119104', '433276002', '203261000000108', '22298006', '674191000119109', '266894000', '430091005', '160273004', '297250002', '65340007', '266897007', '160471004', '35728003', '398274000', '161505003', '161500008', '160363004', '887111000000104', '160436004', '275120007', '117871000119101', '398033008', '160357008', '160362009', '415289003', '275939003', '735686002', '725117008', '160444004', '266995000', '681211000119101', '198381000000104', '59283008', '399211009']","['Sudden cardiac death (disorder)', 'Family history of sudden cardiac death (situation)', 'Sudden death (event)', 'Family history of sudden death (situation)', 'Unexplained sudden death (event)', 'Family history: Cardiomyopathy (situation)', 'History of cardiomyopathy (situation)', 'Family history of heart failure (situation)', 'Death of unknown cause (event)', 'Family history of syncope (situation)', 'History of heart disorder (situation)', 'Family history of ischemic heart disease (situation)', 'Family history: Congenital heart disease (situation)', 'History of cardiac arrest (situation)', 'Family history of cardiac arrhythmia (situation)', 'No family history: Ischemic heart disease (situation)', 'History of cardiac arrhythmia (situation)', 'Family history of atrial fibrillation (situation)', 'Family history of coronary heart disease (situation)', 'Myocardial infarction (disorder)', 'History of syncope (situation)', 'Family history: Cardiovascular disease (situation)', 'Family history of coronary arteriosclerosis (situation)', 'No family history: Hypertension (situation)', 'No family history of stroke (situation)', 'Aneurysm of heart (disorder)', 'Family history: Myocardial infarction (situation)', 'Family history of sudden infant death syndrome (situation)', 'Familial cardiomyopathy (disorder)', 'Coronary artery thrombosis (disorder)', 'History of heart failure (situation)', 'History of rheumatic fever (situation)', 'Family history of transient ischemic attack (situation)', 'Family history (record artifact)', 'Father deceased (situation)', 'Family history: Cardiac disorder (situation)', 'History of heart block (situation)', 'Death of relative (event)', 'Family history: Hypertension (situation)', 'Family history: Atherosclerosis (situation)', 'Relative dying (situation)', 'Family history: Triglyceride high (situation)', 'Sudden cardiac death due to cardiac arrhythmia (disorder)', 'Family history of hyperlipidemia (situation)', 'Family history with explicit context pertaining to brother (situation)', 'History of cardiovascular disease (situation)', 'History of myocarditis (situation)', 'Family history of hypertrophic obstructive cardiomyopathy (situation)', 'Maternal death (event)', 'History of myocardial infarction (situation)']",50
21,26636000,"['26636000', '95281009', '430283008', '90049009', '87309006', '117361000119104', '430815001', '390915000', '160957000', '398033008', '160436004', '160471004', '690491000119104', '429959009', '735686002', '275544003', '59283008', '274644002', '415289003', '160364005', '49713007', '297242006', '7878000', '275939003', '51178009', '240297000', '297250002', '22298006', '674191000119109', '160273004', '266882009', '732814003', '266966009', '887111000000104', '34871008', '266894000', '266897007', '160444004', '160341008', '442041000124107', '726626004', '160363004', '698248002', '160342001', '865371000000104', '394856008', '433276002', '429007001', '732774003', '430041006']","['Sudden death (event)', 'Sudden cardiac death (disorder)', 'Family history of sudden death (situation)', 'Unexplained sudden death (event)', 'Death of unknown cause (event)', 'Family history of sudden cardiac death (situation)', 'Family history of syncope (situation)', 'Family history: Cardiomyopathy (situation)', 'Sudden infant death (event)', 'Death of relative (event)', 'Father deceased (situation)', 'Family history of sudden infant death syndrome (situation)', 'History of cardiomyopathy (situation)', 'Family history of heart failure (situation)', 'Sudden cardiac death due to cardiac arrhythmia (disorder)', 'History of heart disorder (situation)', 'Maternal death (event)', 'Sudden death, cause unknown (event)', 'Relative dying (situation)', 'Family history: Congenital heart disease (situation)', 'Unexpected death (event)', 'Family history of ischemic heart disease (situation)', 'Accidental death (event)', 'Family history: Triglyceride high (situation)', 'Sudden infant death syndrome (finding)', 'Infant death (event)', 'No family history of stroke (situation)', 'Myocardial infarction (disorder)', 'History of syncope (situation)', 'No family history: Hypertension (situation)', 'No family history: Ischemic heart disease (situation)', '60 (qualifier value)', 'Family illness (situation)', 'Family history (record artifact)', 'Grandfather (person)', 'Family history: Cardiovascular disease (situation)', 'Family history: Myocardial infarction (situation)', 'Family history with explicit context pertaining to brother (situation)', 'Family history: Epilepsy (situation)', 'Paternal uncle (person)', 'History of neonatal death (situation)', 'Family history of transient ischemic attack (situation)', 'Family history of cardiac arrhythmia (situation)', 'Family history: Migraine (situation)', 'No history of epilepsy (situation)', 'Paternal grandfather (person)', 'Family history of atrial fibrillation (situation)', 'History of cardiac arrest (situation)', '50 (qualifier value)', 'Family history of Ménière disease (situation)']",50
